system:time_start,soil_moisture_am
"Apr 9, 2023",0.112
"Apr 10, 2023",
"Apr 11, 2023",0.075
"Apr 12, 2023",0.101
"Apr 13, 2023",
"Apr 14, 2023",0.113
"Apr 15, 2023",0.125
"Apr 16, 2023",
"Apr 17, 2023",
"Apr 18, 2023",
"Apr 19, 2023",0.062
"Apr 20, 2023",0.067
"Apr 21, 2023",
"Apr 22, 2023",0.078
"Apr 23, 2023",0.096
"Apr 24, 2023",
"Apr 25, 2023",0.07
"Apr 26, 2023",
"Apr 27, 2023",0.058
"Apr 28, 2023",0.07
"Apr 29, 2023",
"Apr 30, 2023",0.083
"May 1, 2023",0.101
"May 2, 2023",
"May 3, 2023",0.07
"May 4, 2023",
"May 5, 2023",0.118
"May 6, 2023",0.123
"May 7, 2023",
"May 8, 2023",0.099
"May 9, 2023",0.111
"May 10, 2023",
"May 11, 2023",0.072
"May 12, 2023",
"May 13, 2023",0.064
"May 14, 2023",0.066
"May 15, 2023",
"May 16, 2023",0.077
"May 17, 2023",
"May 18, 2023",
"May 19, 2023",0.07
"May 20, 2023",
"May 21, 2023",0.071
"May 22, 2023",0.076
"May 23, 2023",
"May 24, 2023",0.074
"May 25, 2023",
"May 26, 2023",
"May 27, 2023",0.062
"May 28, 2023",
"May 29, 2023",0.067
"May 30, 2023",0.057
"May 31, 2023",
